1,1,N50Q_5,6783000Y8A,20260714,121019,F,0,1,,PFFPPPPPPPNN,1,F,3,20260714,121005,0,,,0,0


Open < 329> <   1  151  214  276  307  314  329  370  379  441  599  614  736  766  787  917 1014 1182 1183 1184 1185 1186 > -> <329>-P1_GPIO3 Parts:RTC135; <1>-GND Parts:JWLAN1.77
Open < 370> <   1  151  214  276  307  314  329  370  379  441  599  614  736  766  787  917 1014 1182 1183 1184 1185 1186 > -> <370>-TPM_PIN2 Parts:UTM1.2; <1>-GND Parts:JWLAN1.77
Open < 379> <   1  151  214  276  307  314  329  370  379  441  599  614  736  766  787  917 1014 1182 1183 1184 1185 1186 > -> <379>-H_SKTOCC_R Parts:RSQ69; <1>-GND Parts:JWLAN1.77
Open < 441> <   1  151  214  276  307  314  329  370  379  441  599  614  736  766  787  917 1014 1182 1183 1184 1185 1186 > -> <441>-INTRUDER#_PCH Parts:U1.DY44; <1>-GND Parts:JWLAN1.77
Open < 348> <   3    5  348 > -> <348>-+1V8_S5_VIN Parts:PL1003; <3>-+5V_S5 Parts:UUS6.1
Open < 392> <  19  392 1100 > -> <392>-+CPVDD Parts:UA2.36; <19>-+1V8_S0 Parts:JBTB1.78
Open < 440> <  81  440 > -> <440>-ESPI_CLK Parts:RSI108; <81>-ESPI_CLK_SIO Parts:USI1.44
Open < 437> <  86  437 > -> <437>-ESPI_RESET# Parts:U1.DT51; <86>-ESPI_RESET#_SIO Parts:USI1.43
Open < 378> <  96  378  985 3272 > -> <378>-N25637098 Parts:RSQ62; <96>-SLP_SUS#_IN Parts:USI1.5
Open < 393> < 115  393 > -> <393>-EC_AUD_PDB# Parts:RSI56; <115>-EC_AUD_PDB#_R Parts:USI1.121
Open < 360> < 138  150  360 > -> <360>-S_SPKR_OUT_R Parts:U1.DW56; <138>-S_SPKR_OUT# Parts:QC11/1_6
Open < 344> < 180  344 > -> <344>-CNV_BRI_DT Parts:U1.EH33; <180>-CNV_BRI_DT_R Parts:JWLAN1.36
