1,318,M75S_5_APH_REV1,6783000DHM,20260708,121031,F,0,1,,FFPFPPPPPPNN,1,F,3,20260708,121019,0,,,0,0

 405, RPE9,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 560, 769, A1, 245.6754684K , 1
 634, RH54,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 170, 767, A1, 4.0000000  , 1
 647, RH98,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 638, 71, A1, 4.0000000  , 1
 699, RPE42,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 173, 769, A1, 4.0000000  , 1
 710, RPE8,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 784, 769, A1, 4.0000000  , 1
 1110, RL83,   150.00  ,   150.00  ,  20.0,  20.0, 0, R, 1011, 1016, A1, 99999.9000000  , 1
 1239, CUS18/CUS20/CUS24/CUS83,   470.00uF,   470.30uF,  20.0,  20.0, 4, C, 576, 1105, A1, 99999.9000000uF, 1
 2478, PQ49-DSG,     1.00  ,   125.00  ,  20.0,  20.0, 28, QF, 1010, 576, A1, 22267.0588235  , 1
 2571, UUS9:2-5,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 576, 1105, A1, 0.5592905mA, 1

Open < 638> <  71  638 > -> <638>-PT21_UART_TX Parts:RH98; <71>-PT21_PE_G0_SET0 Parts:FCH.118
Open < 767> < 170  767 > -> <767>-PCIEX1SLOT0_PT21_CLKREQ_L Parts:RH54; <170>-PT21_CLK_REQ2_L Parts:FCH.399
Open < 769> < 173  769  784 > -> <769>-PCIEX16SLOT_CLK_REQ_L Parts:RPE43-NP; <173>-PCIEX16SLOT_APU_CLK_REQ_L Parts:CPU.877
Open <1112> <1105 1112 > -> <1112>-+PWR_PS2 Parts:RPS5; <1105>-VBUS_RUSBCONN0 Parts:UUS9.5
