1,269,ips3_15_ian8,6783001TPA,20260724,084007,F,0,1,,PFFPPPPPPPNN,1,F,3,20260724,084001,0,,,0,0


Open < 623> <  56  212  232  415  419  582  585  592  623  789 > -> <623>-+3VS Parts:CR77; <56>-HDMI_HPD_PWR Parts:RV501-NP
Open < 215> < 169  215 > -> <215>-PCH_BEEP Parts:RC60-NP; <169>-PCH_BEEP_R Parts:UC1.469
Open < 827> < 186  188  336  454  721  740  816  823  826  827 > -> <827>-LV5116A_PVCC_30 Parts:PC3213; <186>-+VCON_IN Parts:RU1-NP
Open < 424> < 201  205  335  340  352  353  354  408  424  436  439  447 > -> <424>-+LEDVDD_R Parts:RV13-NP; <201>-P_+3VALW_VIN Parts:PJ5607-NP
Open < 853> < 210  413  853 > -> <853>-DMIC_CLK_CON Parts:JEDP1.22; <210>-CODEC_DMIC_CLK Parts:RA10-NP-NC
Open < 620> < 261  466  620  829 > -> <620>-CHG_PROCHOT_N Parts:PR5446-NP; <261>-VR_HOT_N Parts:PR5446-NP
Open < 295> < 283  295  588 > -> <295>-PCH_SPI0_SO Parts:UC1.682; <283>-SPI_SO Parts:RB6-NP
Open < 588> < 283  295  588 > -> <588>-SPI_16M_SO Parts:UB3.2; <283>-SPI_SO Parts:RB6-NP
Open < 300> < 290  300 > -> <300>-PCH_SPI0_CS0_N Parts:UC1.609; <290>-SPI_CS0_N Parts:RB1-NP
Open < 423> < 421  423 > -> <423>-DISPOFF_N Parts:JEDP1.6; <421>-EC_BKOFF_N Parts:RV2-NP
Open < 617> < 599  617 > -> <617>-RT3624BE_DRVEN Parts:PR1091-NP; <599>-RT3624BE_DRVEN_R Parts:PR1091-NP
Open < 726> < 723  726 > -> <726>-SRC_PS_EN Parts:RU36-NP; <723>-N69747290 Parts:RU36-NP
